common_name,life_stage,order,family,genus,functional_group,a,b,Notes
alderfly,larvae,Megaloptera,Sialidae,,Predator,0.003700000,2.753,
alderfly,nymph,Megaloptera,Sialidae,,Predator,0.003700000,2.753,
ant,adult,Hymenoptera,Formicidae,,Unknown,0.560000000,1.56,
aphid,nymph,Hemiptera,Aphididae,,Piercer-herbivore,0.005000000,3.33,
aphid,adult,Hemiptera,Aphididae,,Piercer-herbivore,0.005000000,3.33,
aquatic earthworm,adult,Annelida,Oligochaeta,,Collector-gatherer,0.008000000,1.888,
balloon fly,adult,Diptera,Empididae,,Predator,0.006000000,3.05,
biting midge,adult,Diptera,Ceratopogonidae,,Predator,0.100000000,1.57,
biting midge,larvae,Diptera,Ceratopogonidae,,Predator,0.025000000,2.469,
black fly,adult,Diptera,Simuliidae,,Collector-filterer,0.006000000,3.05,
black fly,larvae,Diptera,Simuliidae,,Collector-filterer,0.002000000,3.011,
case maker caddisfly,larvae,Trichoptera,Uenoidae,,Scraper,0.005600000,2.839,
case maker caddisfly,larvae,Trichoptera,Lepidostomatidae,,Scraper,0.007900000,2.649,
common skimmer,larvae,Odonata,Libellulidae,,Predator,0.007800000,2.792,"Used Order for a, and b."
crane fly,larvae,Diptera,Tipulidae,,Shredder,0.002900000,2.681,
dark necked systena,adult,Coleoptera,Chrysomelidae,,Defoliator,0.025800000,3.083,
darkling beetle,adult,Coleoptera,Tenebrionidae,,Detritivore,0.051300000,2.669,
darkling beetle,larvae,Coleoptera,Tenebrionidae,,Detritivore,0.051300000,2.669,
dixid midge,larvae,Diptera,Dixidae,,Collector-gatherer,0.002500000,2.692,
finger net caddisfly,larvae,Trichoptera,Philopotomidae,,Collector-filterer,0.005000000,2.511,
flat headed mayfly,nymph,Ephemeroptera,Heptagenniidae,,Scaper,0.010800000,2.754,
flat headed mayfly,larvae,Ephemeroptera,Heptagenniidae,,Scaper,0.010800000,2.754,
free living caddisfly,nymph,Trichoptera,Rhyacophilidae,,Predator,0.009900000,2.48,
free living caddisfly,larvae,Trichoptera,Rhyacophilidae,,Predator,0.009900000,2.48,
fungus nats and gall midges,larvae,Diptera,Sciaridae,,Fungivore,0.002500000,2.692,"Used terrestrial order for a, and b."
giant stonefly,nymph,Plecoptera,Pteronarcyidae,,Shredder,0.032400000,2.573,
golden stonefly,nymph,Plecoptera,Perlidae,,Predator,0.009900000,2.879,
humpless case maker caddisfly,larvae,Trichoptera,Brachycentridae,,Shredder-collector,0.008300000,2.818,
leaf hopper,adult,Hemiptera,Cicadellidae,,Piercer-herbivore,0.007900000,2.229,
little brown stonefly,larvae,Plecoptera,Nemouridae,,Shredder,0.005600000,2.762,
little brown stonefly,nymph,Plecoptera,Nemouridae,,Shredder,0.005600000,2.762,
little green stonefly,adult,Plecoptera,Chloroperlidae,,Predator,0.006500000,2.724,
little green stonefly,nymph,Plecoptera,Chloroperlidae,,Predator,0.006500000,2.724,
midge,nymph,Diptera,Chironomidae,,Collector-filterer,0.005097526,2.32,
midge,larvae,Diptera,Chironomidae,,Collector-filterer,0.005097526,2.32,
midge,adult,Diptera,Chironomidae,,Collector-filterer,0.005097526,3.05,
minute pirate bug,adult,Hemiptera,Anthocoridae,,Piercer-herbivore,0.034100000,2.688,"Used Order for a, and b."
mosquito,adult,Diptera,Culicidae,,Predator,0.006000000,3.05,"Used Order for a, and b. Terrestrial"
mosquito,nymph,Diptera,Culicidae,,Predator,0.006000000,3.05,"Used Order for a, and b. Terrestrial"
mosquito,larvae,Diptera,Culicidae,,Predator,0.006000000,3.05,"Used Order for a, and b. Terrestrial"
moth fly,larvae,Diptera,Psychodidae,Maruini,Detritivore,0.002500000,2.692,
nematode,larvae,Nemotoda,NA,,Predator,0.075800000,0.75,
net spinner caddisfly,larvae,Trichoptera,Hydropsychidae,,Collector-filterer,0.004600000,2.926,
net spinner caddisfly,nymph,Trichoptera,Hydropsychidae,,Collector-filterer,0.004600000,2.926,
northern case maker caddisfly,larvae,Trichoptera,Limnephilidae,,Shredder,0.004000000,2.933,
northern case maker caddisfly,larvae,Trichoptera,Limnephilidae,,Shredder,0.004000000,2.933,
pea clam,adult,Mollusca,Bivalvia,,,,,
prong gilled mayfly,nymph,Ephemeroptera,Leptophlebiidae,Neoleptophlebia,Collector-gatherer,0.004700000,2.686,
psyllid,adult,Hemiptera,Psyllidae,,Piercer-herbivore,0.012300000,2.995,
purse case maker caddisfly,larvae,Trichoptera,Hydroptilidae,,Scraper,0.005600000,2.839,
riffle beetle ,larvae,Coleoptera,Elmidae,Cleptelmis,Collector-gatherer,0.007400000,2.879,
riffle beetle,adult,Coleoptera,Elmidae,Cleptelmis,Scraper,0.152895591,2.18,
roach like stonefly,nymph,Plecoptera,Peltoperlidae,,Shredder,0.017000000,2.737,
roach like stonefly,larvae,Plecoptera,Peltoperlidae,,Shredder,0.017000000,2.737,
roach like stonefly,adult,Plecoptera,Peltoperlidae,,Shredder,0.017000000,2.737,
rolled wing stonefly,nymph,Plecoptera,Leuctridae,,Shredder,0.002800000,2.719,
saddle case maker caddisfly,larvae,Trichoptera,Glossosomatidae,,Scraper,0.008200000,2.958,
small minnow mayfly,nymph,Ephemeroptera,Baetidae,,Collector-gatherer,0.005300000,2.87,
small minnow mayfly,larvae,Ephemeroptera,Baetidae,,Collector-gatherer,0.005300000,2.87,
small minnow mayfly,adult,Ephemeroptera,Baetidae,,Collector-gatherer,0.005300000,2.87,
spiny crawler mayfly,larvae,Ephemeroptera,Ephemerellidae,Ephemerella,Collector-gatherer,0.010300000,2.676,
spiny crawler mayfly,nymph,Ephemeroptera,Ephemerellidae,Ephemerella,Collector-gatherer,0.010300000,2.676,
thrip,adult,Thysanoptera,Thripidae,,Piercer-herbivore,0.007100000,2.537,
thrip,nymph,Thysanoptera,Thripidae,,Piercer-herbivore,0.007100000,2.537,
vinegar and fruit fly,adult,Diptera,Drosophilidae,,Piercer-herbivore,0.006000000,3.05,
water mite,adult,Arachnida,Hyrdachnidia,,Predator-Scavanger,0.132655465,1.66,"Used Order for a, and b. Terrestrial"
water penny,larvae,Coleoptera,Psephenidae,,Scraper,0.012300000,2.906,
water penny,adult,Coleoptera,Psephenidae,,Scraper,0.012300000,2.906,
water scavenger beetle,larvae,Coleoptera,Hydrophilidae,,Collector-gatherer,0.007400000,2.879,
water scavenger beetle,adult,Coleoptera,Hydrophilidae,,Collector-gatherer,0.007400000,2.879,
western green drake,larvae,Ephemeroptera,Ephemerellidae,Drunella,Collector-filterer,0.010300000,2.676,
western green drake,nymph,Ephemeroptera,Ephemerellidae,Drunella,Collector-filterer,0.010300000,2.676,
oblong lady bug,Adult/Larvae,Coleoptera,Coccinellidae,,Predator,0.033800000,2.162,
hellgrammite,larvae,Megaloptera,Corydalidae,,Predator,0.003700000,2.873,
blue springtail,adult,Collembola,Isotomidae,,Detritivore,0.005600000,2.809,
predacious diving beetle,adult,Coleoptera,Dytiscidae ,,Predator,0.152895591,2.18,
wolf spider,adult,Arachnida,Lycosidae,,Predator,0.050000000,2.74,"Used Order for a, and b."
seed bug,adult,Hemiptera,Lygaeidae,,Piercer-herbivore,0.034100000,2.688,"Used Order for a, and b."
